Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
23953,Motor de função vibratória para iPhone XS,Manutenção Vibra / Volume / Power,M. iPhone XS,"300,00",1,1,OK,2025-08-14,,,
24106,Vidro Touchscreen com LCD para iPhone 7 - Preto,Manutenção LCD/ Touch,M. iPhone 7,"350,00",2,2,OK,2025-08-14,,,
24107,Vidro e touchscreen com LCD iPhone 7 - Branco,Manutenção LCD/ Touch,M. iPhone 7,"350,00",3,3,OK,2025-08-14,,,
23954,Speaker - iPhone XS,Manutenção Speaker,M. iPhone XS,"600,00",1,1,OK,2025-08-14,,,
24899,Flex sensor/ alto falante - iPhone XS,Manutenção Flex do Sensor,M. iPhone XS,"300,00",2,2,OK,2025-08-14,,,
23013,Lente de Vidro da Câmera iPhone XR - Prata,Manutenção Câmera,M. iPhone XR,"0,00",2,2,OK,2025-08-14,,,
23014,Lente de Vidro da Câmera iPhone XR - Azul,Manutenção Câmera,M. iPhone XR,"0,00",3,3,OK,2025-08-14,,,
23015,Lente de Vidro da Câmera iPhone XR - Amarelo,Manutenção Câmera,M. iPhone XR,"0,00",3,3,OK,2025-08-14,,,
3747,Bateria de iPhone 5S,Manutenção Bateria,M. iPhone 5S,"100,00",3,3,OK,2025-08-14,,,
23016,Lente de Vidro da Câmera iPhone XR - Red,Manutenção Câmera,M. iPhone XR,"0,00",2,2,OK,2025-08-14,,,
23017,Lente de Vidro da Câmera iPhone XR - Coral,Manutenção Câmera,M. iPhone XR,"0,00",3,3,OK,2025-08-14,,,
3823,Carcaça iPhone 5S - Prata,Manutenção Carcaça/Vidro Traseiro,M. iPhone 5S,"100,00",3,3,OK,2025-08-14,,,
23186,Conector de Carga iPhone XR - Preto,Manutenção Conector,M. iPhone XR,"0,00",1,1,OK,2025-08-14,,,
23264,Conector de Carga iPhone XR - Branco,Manutenção Conector,M. iPhone XR,"0,00",2,2,OK,2025-08-14,,,
23266,Câmera Frontal - iPhone XR,Manutenção Câmera,M. iPhone XR,"0,00",2,2,OK,2025-08-14,,,
23472,Flex Power - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"0,00",1,1,OK,2025-08-14,,,
23476,Motor do Vibra - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"0,00",2,2,OK,2025-08-14,,,
23716,Lente de Vidro da Câmera iPhone XR - Preto,Manutenção Câmera,M. iPhone XR,"0,00",2,3,DIVERGENTE,2025-08-14,gerar novo codigo,,
23984,Antena Wi-Fi para iPhone XR,Manutenção Wi-Fi,M. iPhone XR,"400,00",3,3,OK,2025-08-14,,,
23986,Flex da função power para iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"0,00",2,0,DIVERGENTE,2025-08-14,,,
23989,Flex power / volume / vibra / microfone / flash - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"400,00",2,3,DIVERGENTE,2025-08-14,gerar novo codigo,,
23991,Alto-falante auricular para iPhone XR,Manutenção Alto Falante,M. iPhone XR,"200,00",4,4,OK,2025-08-14,,,
23992,Flex motor vibra - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"300,00",2,2,OK,2025-08-14,,,
23995,Câmera Traseira para iPhone XR,Manutenção Câmera,M. iPhone XR,"400,00",2,2,OK,2025-08-14,,,
23997,Câmera Frontal e Sensor para iPhone XR,Manutenção Câmera,M. iPhone XR,"300,00",2,2,OK,2025-08-14,,,
24000,Speaker para iPhone XR,Manutenção Speaker,M. iPhone XR,"400,00",1,1,OK,2025-08-14,,,
24140,Flex conector de carga para iPhone XR Branco,Manutenção Conector,M. iPhone XR,"300,00",6,6,OK,2025-08-14,,,
