Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
24019,Aro com carcaça metalica para iPhone XS Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS,"400,00",2,2,OK,2025-08-15,,,
24899,Flex sensor/ alto falante - iPhone XS,Manutenção Flex do Sensor,M. iPhone XS,"300,00",2,2,OK,2025-08-15,,,
26944,Bateria de iPhone XS - Sem Flex,Manutenção Bateria,M. iPhone XS,"450,00",1,1,OK,2025-08-15,,,
22668,Tampa Traseira iPhone XR - Red,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"0,00",2,2,OK,2025-08-15,,,
23003,Tampa Traseira iPhone XR - Coral,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"400,00",2,2,OK,2025-08-15,,,
23004,Tampa Traseira iPhone XR - Azul,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"400,00",2,2,OK,2025-08-15,,,
23013,Lente de Vidro da Câmera iPhone XR - Prata,Manutenção Câmera,M. iPhone XR,"0,00",1,1,OK,2025-08-15,,,
23014,Lente de Vidro da Câmera iPhone XR - Azul,Manutenção Câmera,M. iPhone XR,"0,00",2,2,OK,2025-08-15,,,
23015,Lente de Vidro da Câmera iPhone XR - Amarelo,Manutenção Câmera,M. iPhone XR,"0,00",2,2,OK,2025-08-15,,,
23016,Lente de Vidro da Câmera iPhone XR - Red,Manutenção Câmera,M. iPhone XR,"0,00",2,2,OK,2025-08-15,,,
23017,Lente de Vidro da Câmera iPhone XR - Coral,Manutenção Câmera,M. iPhone XR,"0,00",2,2,OK,2025-08-15,,,
23186,Conector de Carga iPhone XR - Preto,Manutenção Conector,M. iPhone XR,"0,00",2,2,OK,2025-08-15,,,
23266,Câmera Frontal - iPhone XR,Manutenção Câmera,M. iPhone XR,"0,00",2,2,OK,2025-08-15,,,
23285,Bateria de iPhone XR,Manutenção Bateria,M. iPhone XR,"450,00",2,2,OK,2025-08-15,,,
23472,Flex Power - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"0,00",1,1,OK,2025-08-15,,,
23473,Flex sensor/ alto falante - iPhone XR,Manutenção Alto Falante,M. iPhone XR,"0,00",1,1,OK,2025-08-15,,,
23703,Tampa Traseira iPhone XR - Amarela,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"0,00",1,1,OK,2025-08-15,,,
23984,Antena Wi-Fi para iPhone XR,Manutenção Wi-Fi,M. iPhone XR,"400,00",3,3,OK,2025-08-15,,,
23989,Flex power / volume / vibra / microfone / flash - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"400,00",2,2,OK,2025-08-15,,,
23990,Tampa de vidro com lente traseira para iPhone XR Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"400,00",2,2,OK,2025-08-15,,,
23991,Alto-falante auricular para iPhone XR,Manutenção Alto Falante,M. iPhone XR,"200,00",3,3,OK,2025-08-15,,,
23992,Flex motor vibra - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"300,00",2,2,OK,2025-08-15,,,
23994,Tampa de vidro com lente traseira para iPhone XR Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"400,00",2,2,OK,2025-08-15,,,
23995,Câmera Traseira para iPhone XR,Manutenção Câmera,M. iPhone XR,"400,00",1,1,OK,2025-08-15,,,
24000,Speaker para iPhone XR,Manutenção Speaker,M. iPhone XR,"400,00",2,2,OK,2025-08-15,,,
24006,Aro com carcaça metalica para iPhone XR Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"500,00",1,1,OK,2025-08-15,,,
24008,Aro com carcaça metalica para iPhone XR Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"500,00",1,1,OK,2025-08-15,,,
24009,Aro com carcaça metalica para iPhone XR Vermelho,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"500,00",1,1,OK,2025-08-15,,,
24010,Aro com carcaça metalica para iPhone XR Amarelo,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"500,00",1,1,OK,2025-08-15,,,
24012,Aro com carcaça metalica para iPhone XR Laranja,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"500,00",1,1,OK,2025-08-15,,,
24013,Aro com carcaça metalica para iPhone XR Azul,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"500,00",1,1,OK,2025-08-15,,,
24110,Vidro e touchscreen com LCD iPhone XR - Preto,Manutenção LCD/ Touch,M. iPhone XR,"700,00",3,3,OK,2025-08-15,,,
24140,Flex conector de carga para iPhone XR Branco,Manutenção Conector,M. iPhone XR,"300,00",2,2,OK,2025-08-15,,,
24344,Conector de carga para iPhone XR Preto,Manutenção Conector,M. iPhone XR,"300,00",1,1,OK,2025-08-15,,,
25104,Lente de Vidro da Câmera iPhone XR - Avulsa,Manutenção Câmera,M. iPhone XR,"250,00",1,1,OK,2025-08-15,,,
26946,Bateria de iPhone XR - Sem Flex,Manutenção Bateria,M. iPhone XR,"450,00",2,2,OK,2025-08-15,,,
